EX_0
0   {'nbox': [204.0, 146.0, 350.0, 275.0], 'question': 'Increase the size of the TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
11   {'nbox': [204.0, 147.0, 298.0, 223.0], 'question': 'Make TV bigger.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
12   {'nbox': [204.0, 147.0, 300.0, 223.0], 'question': 'Make TV bigger.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
13   {'nbox': [204.0, 146.0, 397.0, 297.0], 'question': 'Make TV bigger.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
14   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Make TV bigger.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
EX_2
0   {'nbox': [203.0, 146.0, 299.0, 224.0], 'question': 'Make Huge TV.\n', 'original_bbox': array([203.34592, 145.72787, 299.0149 , 223.90567], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'hugetv_0'}
1   {'nbox': [203.0, 145.0, 371.0, 369.0], 'question': 'Make Huge TV.\n', 'original_bbox': array([203.34592, 145.72787, 299.0149 , 223.90567], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'hugetv_0'}
2   {'nbox': [203.0, 145.0, 299.0, 223.0], 'question': 'Make Huge TV.\n', 'original_bbox': array([203.34592, 145.72787, 299.0149 , 223.90567], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'hugetv_0'}
4   {'nbox': [203.0, 146.0, 299.0, 224.0], 'question': 'Make Huge TV.\n', 'original_bbox': array([203.34592, 145.72787, 299.0149 , 223.90567], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'hugetv_0'}
5   {'nbox': [203.0, 146.0, 299.0, 224.0], 'question': 'Make Huge TV.\n', 'original_bbox': array([203.34592, 145.72787, 299.0149 , 223.90567], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'hugetv_0'}
6   {'nbox': [155.0, 90.0, 512.0, 418.0], 'question': 'Make Huge TV.\n', 'original_bbox': array([203.34592, 145.72787, 299.0149 , 223.90567], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'hugetv_0'}
7   {'nbox': [203.0, 145.0, 299.0, 223.0], 'question': 'Make Huge TV.\n', 'original_bbox': array([203.34592, 145.72787, 299.0149 , 223.90567], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'hugetv_0'}
9   {'nbox': [203.0, 145.0, 299.0, 224.0], 'question': 'Make Huge TV.\n', 'original_bbox': array([203.34592, 145.72787, 299.0149 , 223.90567], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'hugetv_0'}
10   {'nbox': [203.0, 146.0, 299.0, 224.0], 'question': 'Make Huge TV.\n', 'original_bbox': array([203.34592, 145.72787, 299.0149 , 223.90567], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'hugetv_0'}
11   {'nbox': [203.0, 145.0, 299.0, 224.0], 'question': 'Make Huge TV.\n', 'original_bbox': array([203.34592, 145.72787, 299.0149 , 223.90567], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'hugetv_0'}
12   {'nbox': [203.0, 145.0, 299.0, 224.0], 'question': 'Make Huge TV.\n', 'original_bbox': array([203.34592, 145.72787, 299.0149 , 223.90567], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'hugetv_0'}
13   {'nbox': [203.0, 145.0, 299.0, 224.0], 'question': 'Make Huge TV.\n', 'original_bbox': array([203.34592, 145.72787, 299.0149 , 223.90567], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'hugetv_0'}
14   {'nbox': [203.0, 145.0, 299.0, 223.0], 'question': 'Make Huge TV.\n', 'original_bbox': array([203.34592, 145.72787, 299.0149 , 223.90567], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'hugetv_0'}
EX_3
0   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Decrease the size of the TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
1   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Decrease the size of the TV.\n', 'original_bbox': array([204.65659, 146.737  , 298.2512 , 223.31909], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
2   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Decrease the size of the TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
3   {'nbox': [209.0, 145.0, 299.0, 224.0], 'question': 'Decrease the size of the TV.\n', 'original_bbox': array([204.65659, 146.737  , 298.2512 , 223.31909], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
5   {'nbox': [203.0, 146.0, 298.0, 224.0], 'question': 'Decrease the size of the TV.\n', 'original_bbox': array([203.94012, 146.24113, 298.6694 , 223.55528], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'sizetv_0'}
6   {'nbox': [204.0, 147.0, 298.0, 223.0], 'question': 'Decrease the size of the TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
7   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Decrease the size of the TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
8   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Decrease the size of the TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
9   {'nbox': [204.0, 147.0, 298.0, 223.0], 'question': 'Decrease the size of the TV.\n', 'original_bbox': array([204.47583, 146.63612, 298.38397, 223.42003], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
10   {'nbox': [205.0, 147.0, 298.0, 223.0], 'question': 'Decrease the size of the TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
11   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Decrease the size of the TV.\n', 'original_bbox': array([204.65659, 146.737  , 298.2512 , 223.31909], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
12   {'nbox': [204.0, 147.0, 298.0, 223.0], 'question': 'Decrease the size of the TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
13   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Decrease the size of the TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
14   {'nbox': [203.0, 146.0, 297.0, 223.0], 'question': 'Decrease the size of the TV.\n', 'original_bbox': array([203.7052 , 146.21419, 298.964  , 223.76158], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'sizeofthetv_0'}
EX_4
1   {'nbox': [204.0, 146.0, 248.0, 186.0], 'question': 'Make TV smaller.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
2   {'nbox': [204.0, 146.0, 251.0, 185.0], 'question': 'Make TV smaller.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
3   {'nbox': [204.0, 147.0, 298.0, 223.0], 'question': 'Make TV smaller.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
4   {'nbox': [204.0, 147.0, 298.0, 223.0], 'question': 'Make TV smaller.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
5   {'nbox': [204.0, 147.0, 298.0, 223.0], 'question': 'Make TV smaller.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
6   {'nbox': [204.0, 147.0, 298.0, 223.0], 'question': 'Make TV smaller.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
7   {'nbox': [204.0, 146.0, 233.0, 163.0], 'question': 'Make TV smaller.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
8   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Make TV smaller.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
9   {'nbox': [204.0, 147.0, 298.0, 223.0], 'question': 'Make TV smaller.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
10   {'nbox': [204.0, 146.0, 299.0, 223.0], 'question': 'Make TV smaller.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
11   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Make TV smaller.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
12   {'nbox': [204.0, 146.0, 252.0, 191.0], 'question': 'Make TV smaller.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
13   {'nbox': [204.0, 146.0, 298.0, 196.0], 'question': 'Make TV smaller.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
EX_5
0   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Make small TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
1   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Make small TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
2   {'nbox': [204.0, 147.0, 230.0, 174.0], 'question': 'Make small TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
3   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Make small TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
4   {'nbox': [203.0, 145.0, 299.0, 224.0], 'question': 'Make small TV.\n', 'original_bbox': array([203.4765 , 145.74226, 299.15527, 223.90163], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'smalltv_0'}
5   {'nbox': [204.0, 146.0, 260.0, 178.0], 'question': 'Make small TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
8   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Make small TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
9   {'nbox': [203.0, 146.0, 299.0, 224.0], 'question': 'Make small TV.\n', 'original_bbox': array([203.4765 , 145.74226, 299.15527, 223.90163], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'smalltv_0'}
10   {'nbox': [203.0, 145.0, 299.0, 224.0], 'question': 'Make small TV.\n', 'original_bbox': array([203.4765 , 145.74226, 299.15527, 223.90163], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'smalltv_0'}
11   {'nbox': [204.0, 146.0, 330.0, 263.0], 'question': 'Make small TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
12   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Make small TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
13   {'nbox': [203.0, 146.0, 299.0, 224.0], 'question': 'Make small TV.\n', 'original_bbox': array([203.4765 , 145.74226, 299.15527, 223.90163], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'smalltv_0'}
14   {'nbox': [203.0, 145.0, 299.0, 224.0], 'question': 'Make small TV.\n', 'original_bbox': array([203.4765 , 145.74226, 299.15527, 223.90163], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'smalltv_0'}
EX_6
0   {'nbox': [96.0, 146.0, 189.0, 223.0], 'question': 'Move the tv to the left.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
1   {'nbox': [146.0, 147.0, 240.0, 224.0], 'question': 'Move the tv to the left.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
2   {'nbox': [173.0, 146.0, 267.0, 223.0], 'question': 'Move the tv to the left.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
3   {'nbox': [176.0, 146.0, 270.0, 223.0], 'question': 'Move the tv to the left.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
4   {'nbox': [161.0, 146.0, 255.0, 223.0], 'question': 'Move the tv to the left.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
5   {'nbox': [156.0, 146.0, 249.0, 223.0], 'question': 'Move the tv to the left.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
6   {'nbox': [134.0, 146.0, 228.0, 223.0], 'question': 'Move the tv to the left.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
7   {'nbox': [106.0, 146.0, 199.0, 223.0], 'question': 'Move the tv to the left.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
8   {'nbox': [199.0, 146.0, 293.0, 223.0], 'question': 'Move the tv to the left.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
9   {'nbox': [128.0, 146.0, 222.0, 223.0], 'question': 'Move the tv to the left.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
10   {'nbox': [157.0, 146.0, 251.0, 223.0], 'question': 'Move the tv to the left.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
11   {'nbox': [156.0, 146.0, 250.0, 223.0], 'question': 'Move the tv to the left.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
12   {'nbox': [114.0, 147.0, 207.0, 223.0], 'question': 'Move the tv to the left.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
14   {'nbox': [174.0, 146.0, 268.0, 223.0], 'question': 'Move the tv to the left.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
EX_7
0   {'nbox': [105.0, 146.0, 198.0, 223.0], 'question': 'Move the tv to the left side.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
1   {'nbox': [179.0, 146.0, 273.0, 223.0], 'question': 'Move the tv to the left side.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
2   {'nbox': [0.0, 146.0, 93.0, 223.0], 'question': 'Move the tv to the left side.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
3   {'nbox': [156.0, 146.0, 298.0, 223.0], 'question': 'Move the tv to the left side.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
4   {'nbox': [137.0, 146.0, 231.0, 223.0], 'question': 'Move the tv to the left side.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
5   {'nbox': [108.0, 146.0, 201.0, 223.0], 'question': 'Move the tv to the left side.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
7   {'nbox': [123.0, 147.0, 216.0, 224.0], 'question': 'Move the tv to the left side.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
8   {'nbox': [0.0, 146.0, 94.0, 223.0], 'question': 'Move the tv to the left side.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
9   {'nbox': [133.0, 146.0, 227.0, 223.0], 'question': 'Move the tv to the left side.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
10   {'nbox': [55.0, 147.0, 148.0, 224.0], 'question': 'Move the tv to the left side.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
11   {'nbox': [104.0, 146.0, 198.0, 223.0], 'question': 'Move the tv to the left side.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
12   {'nbox': [136.0, 146.0, 230.0, 223.0], 'question': 'Move the tv to the left side.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
14   {'nbox': [168.0, 146.0, 262.0, 223.0], 'question': 'Move the tv to the left side.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
EX_8
0   {'nbox': [0.0, 146.0, 93.0, 223.0], 'question': 'Move the tv to the left side of image.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
1   {'nbox': [0.0, 146.0, 93.0, 223.0], 'question': 'Move the tv to the left side of image.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
2   {'nbox': [0.0, 146.0, 93.0, 223.0], 'question': 'Move the tv to the left side of image.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
3   {'nbox': [0.0, 146.0, 93.0, 223.0], 'question': 'Move the tv to the left side of image.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
4   {'nbox': [0.0, 146.0, 93.0, 223.0], 'question': 'Move the tv to the left side of image.\n', 'original_bbox': array([204.58719, 146.72653, 298.2635 , 223.35843], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
5   {'nbox': [0.0, 146.0, 93.0, 223.0], 'question': 'Move the tv to the left side of image.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
6   {'nbox': [0.0, 146.0, 93.0, 223.0], 'question': 'Move the tv to the left side of image.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
7   {'nbox': [0.0, 146.0, 93.0, 223.0], 'question': 'Move the tv to the left side of image.\n', 'original_bbox': array([204.47125, 146.6577 , 298.38824, 223.42186], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
8   {'nbox': [0.0, 146.0, 93.0, 223.0], 'question': 'Move the tv to the left side of image.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
