EX_1   {'nbox': [204.62308, 146.70651, 298.29614, 223.34375], 'question': 'Make TV bigger.\n', 'target': 'tv_0', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg'}
EX_20   {'nbox': [261.2345, 65.84085, 312.0547, 163.45241], 'question': 'Move the frame diagonally up to the left.\n', 'target': 'frame_0', 'original_bbox': array([261.2345 ,  65.84085, 312.0547 , 163.45241], dtype=float32), 'i_name': 'img_1.jpeg'}
EX_21EX_22   {'nbox': [261.0, 66.0, 312.0, 163.0], 'question': 'Move the frame diagonally down to the left.\n', 'target': 'frame_0', 'original_bbox': array([261.2345 ,  65.84085, 312.0547 , 163.45241], dtype=float32), 'i_name': 'img_1.jpeg'}
EX_23EX_24   {'nbox': [58.0, 262.0, 101.0, 273.0], 'question': 'Place the books on the drawers onto the bed.', 'target': 'books_1', 'original_bbox': array([ 58.417175, 262.7397  , 101.04266 , 273.19397 ], dtype=float32), 'i_name': 'img_1.jpeg'}
EX_25   {'nbox': [80.0, 362.0, 123.0, 402.0], 'question': 'Enlarge the size of the drawers by 1.5 times.', 'target': 'drawers_0', 'original_bbox': array([ 80.7318 , 362.3095 , 123.53438, 402.91278], dtype=float32), 'i_name': 'img_1.jpeg'}
   {'nbox': [55.0, 295.0, 185.0, 462.0], 'question': 'Enlarge the size of the drawers by 1.5 times.', 'target': 'drawers_1', 'original_bbox': array([ 42.020535, 267.2062  , 129.26959 , 427.48398 ], dtype=float32), 'i_name': 'img_1.jpeg'}
   {'nbox': [42.0, 267.0, 129.0, 427.0], 'question': 'Enlarge the size of the drawers by 1.5 times.', 'target': 'drawers_2', 'original_bbox': array([ 80.55857, 332.44824, 123.406  , 370.22382], dtype=float32), 'i_name': 'img_1.jpeg'}
EX_26   {'nbox': [261.0, 65.0, 312.0, 163.0], 'question': 'Move the frame downside by 15px.\n', 'target': 'frame_0', 'original_bbox': array([261.2345 ,  65.84085, 312.0547 , 163.45241], dtype=float32), 'i_name': 'img_1.jpeg'}
EX_27   {'nbox': [366.0, 345.0, 397.0, 390.0], 'question': 'Make mug bigger.\n', 'target': 'mug_0', 'original_bbox': array([366.54276, 345.86615, 397.4517 , 390.     ], dtype=float32), 'i_name': 'img_4.jpeg'}
EX_28   {'nbox': [366.0, 345.0, 397.0, 390.0], 'question': 'Make mug smaller.\n', 'target': 'mug_0', 'original_bbox': array([366.54276, 345.86615, 397.4517 , 390.     ], dtype=float32), 'i_name': 'img_4.jpeg'}
EX_29   {'nbox': [369.0, 102.0, 424.0, 185.0], 'question': 'Move the lamp to the leftside.\n', 'target': 'lamp_0', 'original_bbox': array([369.49567, 102.95534, 424.3094 , 185.74815], dtype=float32), 'i_name': 'img_4.jpeg'}
EX_30   {'nbox': [369.0, 102.0, 424.0, 185.0], 'question': 'Move the lamp to the rightside.\n', 'target': 'lamp_0', 'original_bbox': array([369.49567, 102.95534, 424.3094 , 185.74815], dtype=float32), 'i_name': 'img_4.jpeg'}
EX_31   {'nbox': [369.0, 102.0, 424.0, 185.0], 'question': 'Move the lamp upside.\n', 'target': 'lamp_0', 'original_bbox': array([369.49567, 102.95534, 424.3094 , 185.74815], dtype=float32), 'i_name': 'img_4.jpeg'}
EX_32   {'nbox': [369.0, 102.0, 424.0, 185.0], 'question': 'Move the lamp downside.\n', 'target': 'lamp_0', 'original_bbox': array([369.49567, 102.95534, 424.3094 , 185.74815], dtype=float32), 'i_name': 'img_4.jpeg'}
EX_33   {'nbox': [369.0, 103.0, 424.0, 186.0], 'question': 'Move the lamp diagonally up to the left.\n', 'target': 'lamp_0', 'original_bbox': array([369.49567, 102.95534, 424.3094 , 185.74815], dtype=float32), 'i_name': 'img_4.jpeg'}
EX_34   {'nbox': [369.0, 102.0, 424.0, 185.0], 'question': 'Move the lamp diagonally up to the right.\n', 'target': 'lamp_0', 'original_bbox': array([369.49567, 102.95534, 424.3094 , 185.74815], dtype=float32), 'i_name': 'img_4.jpeg'}
EX_35EX_36EX_37EX_38   {'nbox': [369.0, 102.0, 424.0, 185.0], 'question': 'Move the lamp size to the top-right by 20px diagonally.\n', 'target': 'lamp_0', 'original_bbox': array([369.49567, 102.95534, 424.3094 , 185.74815], dtype=float32), 'i_name': 'img_4.jpeg'}
EX_39   {'nbox': [366.54276, 345.86615, 397.4517, 390.0], 'question': 'Double the size of the mug.\n', 'target': 'mug_0', 'original_bbox': array([366.54276, 345.86615, 397.4517 , 390.     ], dtype=float32), 'i_name': 'img_4.jpeg'}
EX_40EX_41EX_42EX_43EX_44EX_45EX_46EX_47EX_48EX_49EX_50EX_51EX_52EX_53   {'nbox': [140.0, 52.0, 388.0, 459.0], 'question': 'Make tree bigger.\n', 'target': 'tree_0', 'original_bbox': array([140.61212 ,  52.844376, 387.56567 , 459.24713 ], dtype=float32), 'i_name': 'img_7.jpeg'}
EX_54EX_55EX_56   {'nbox': [140.0, 52.0, 387.0, 459.0], 'question': 'Move the tree to the rightside.\n', 'target': 'tree_0', 'original_bbox': array([140.61212 ,  52.844376, 387.56567 , 459.24713 ], dtype=float32), 'i_name': 'img_7.jpeg'}
EX_57   {'nbox': [140.0, 52.0, 387.0, 459.0], 'question': 'Move the tree upside.\n', 'target': 'tree_0', 'original_bbox': array([140.61212 ,  52.844376, 387.56567 , 459.24713 ], dtype=float32), 'i_name': 'img_7.jpeg'}
EX_58EX_59   {'nbox': [140.0, 52.0, 387.0, 459.0], 'question': 'Move the tree diagonally up to the left.\n', 'target': 'tree_0', 'original_bbox': array([140.61212 ,  52.844376, 387.56567 , 459.24713 ], dtype=float32), 'i_name': 'img_7.jpeg'}
EX_60   {'nbox': [116.0, 12.0, 412.0, 419.0], 'question': 'Move the tree diagonally up to the right.\n', 'target': 'tree_0', 'original_bbox': array([140.61212 ,  52.844376, 387.56567 , 459.24713 ], dtype=float32), 'i_name': 'img_7.jpeg'}
EX_61EX_62   {'nbox': [140.0, 52.0, 387.0, 459.0], 'question': 'Move the tree diagonally down to the right.\n', 'target': 'tree_0', 'original_bbox': array([140.61212 ,  52.844376, 387.56567 , 459.24713 ], dtype=float32), 'i_name': 'img_7.jpeg'}
EX_63   {'nbox': [140.61212, 52.844376, 387.56567, 459.24713], 'question': 'Move the tree to the rightside by 20px.\n', 'target': 'tree_0', 'original_bbox': array([140.61212 ,  52.844376, 387.56567 , 459.24713 ], dtype=float32), 'i_name': 'img_7.jpeg'}
EX_64   {'nbox': [140.61212, 52.844376, 387.56567, 459.24713], 'question': 'Make tree smaller by 30%.', 'target': 'tree_0', 'original_bbox': array([140.61212 ,  52.844376, 387.56567 , 459.24713 ], dtype=float32), 'i_name': 'img_7.jpeg'}
